pen-scored,season,competition,club,date,home-team,final-result,away-team,minute,score-before-pk,goal-keeper,goal-keeper-link
1,14/15,UEFA Champions League,Real Madrid,"May 13, 2015",Real Madrid,1:1,Juventus FC,23',1:0,Gianluigi Buffon,https://www.transfermarkt.us/gianluigi-buffon/elfmeterstatistik/spieler/5023
1,14/15,LaLiga,Real Madrid,"Mar 1, 2015",Real Madrid,1:1,Villarreal CF,52',1:0,Sergio Asenjo,https://www.transfermarkt.us/sergio-asenjo/elfmeterstatistik/spieler/51710
1,14/15,LaLiga,Real Madrid,"Jan 4, 2015",Valencia CF,2:1,Real Madrid,14',0:1,Diego Alves,https://www.transfermarkt.us/diego-alves/elfmeterstatistik/spieler/42373
1,14/15,UEFA Champions League,Real Madrid,"Dec 9, 2014",Real Madrid,4:0,Ludogorets Razgrad,20',1:0,Vladislav Stoyanov,https://www.transfermarkt.us/vladislav-stoyanov/elfmeterstatistik/spieler/81659
1,14/15,LaLiga,Real Madrid,"Dec 6, 2014",Real Madrid,3:0,Celta de Vigo,36',1:0,Sergio Álvarez,https://www.transfermarkt.us/sergio-alvarez/elfmeterstatistik/spieler/45912
1,14/15,LaLiga,Real Madrid,"Nov 22, 2014",SD Eibar,0:4,Real Madrid,83',0:4,Xabi Irureta,https://www.transfermarkt.us/xabi-irureta/elfmeterstatistik/spieler/89618
1,14/15,LaLiga,Real Madrid,"Oct 25, 2014",Real Madrid,3:1,FC Barcelona,35',1:1,Claudio Bravo,https://www.transfermarkt.us/claudio-bravo/elfmeterstatistik/spieler/40423
1,14/15,LaLiga,Real Madrid,"Oct 18, 2014",Levante UD,0:5,Real Madrid,13',0:1,Diego Mariño,https://www.transfermarkt.us/diego-marino/elfmeterstatistik/spieler/59349
1,14/15,UEFA Champions League,Real Madrid,"Oct 1, 2014",Ludogorets Razgrad,1:2,Real Madrid,25',1:1,Vladislav Stoyanov,https://www.transfermarkt.us/vladislav-stoyanov/elfmeterstatistik/spieler/81659
1,14/15,LaLiga,Real Madrid,"Sep 23, 2014",Real Madrid,5:1,Elche CF,80',4:1,Manu Herrera,https://www.transfermarkt.us/manu-herrera/elfmeterstatistik/spieler/59343
1,14/15,LaLiga,Real Madrid,"Sep 23, 2014",Real Madrid,5:1,Elche CF,28',2:1,Manu Herrera,https://www.transfermarkt.us/manu-herrera/elfmeterstatistik/spieler/59343
1,14/15,LaLiga,Real Madrid,"Sep 13, 2014",Real Madrid,1:2,Atlético de Madrid,25',1:1,Miguel Ángel Moyá,https://www.transfermarkt.us/miguel-angel-moya/elfmeterstatistik/spieler/26065
1,13/14,UEFA Champions League,Real Madrid,"May 24, 2014",Real Madrid,4:1,Atlético de Madrid,120',4:1,Thibaut Courtois,https://www.transfermarkt.us/thibaut-courtois/elfmeterstatistik/spieler/108390
1,13/14,LaLiga,Real Madrid,"Mar 23, 2014",Real Madrid,3:4,FC Barcelona,55',3:2,Víctor Valdés,https://www.transfermarkt.us/victor-valdes/elfmeterstatistik/spieler/7589
1,13/14,Copa del Rey,Real Madrid,"Feb 11, 2014",Atlético de Madrid,0:2,Real Madrid,15',0:2,Daniel Aranzubia,https://www.transfermarkt.us/daniel-aranzubia/elfmeterstatistik/spieler/7612
1,13/14,Copa del Rey,Real Madrid,"Feb 11, 2014",Atlético de Madrid,0:2,Real Madrid,6',0:1,Daniel Aranzubia,https://www.transfermarkt.us/daniel-aranzubia/elfmeterstatistik/spieler/7612
1,13/14,LaLiga,Real Madrid,"Nov 9, 2013",Real Madrid,5:1,Real Sociedad,27',3:0,Claudio Bravo,https://www.transfermarkt.us/claudio-bravo/elfmeterstatistik/spieler/40423
1,13/14,LaLiga,Real Madrid,"Oct 30, 2013",Real Madrid,7:3,Sevilla FC,31',3:0,Beto,https://www.transfermarkt.us/beto/elfmeterstatistik/spieler/35242
1,13/14,UEFA Champions League,Real Madrid,"Oct 23, 2013",Real Madrid,2:1,Juventus FC,29',2:1,Gianluigi Buffon,https://www.transfermarkt.us/gianluigi-buffon/elfmeterstatistik/spieler/5023
1,13/14,LaLiga,Real Madrid,"Oct 19, 2013",Real Madrid,2:0,Málaga CF,90',2:0,Willy Caballero,https://www.transfermarkt.us/willy-caballero/elfmeterstatistik/spieler/19948
1,13/14,LaLiga,Real Madrid,"Sep 25, 2013",Elche CF,1:2,Real Madrid,90',1:2,Manu Herrera,https://www.transfermarkt.us/manu-herrera/elfmeterstatistik/spieler/59343
1,13/14,LaLiga,Real Madrid,"Sep 22, 2013",Real Madrid,4:1,Getafe CF,34',2:1,Miguel Ángel Moyá,https://www.transfermarkt.us/miguel-angel-moya/elfmeterstatistik/spieler/26065
1,12/13,LaLiga,Real Madrid,"Mar 10, 2013",Celta de Vigo,1:2,Real Madrid,71',1:2,Javi Varas,https://www.transfermarkt.us/javi-varas/elfmeterstatistik/spieler/58341
1,12/13,Copa del Rey,Real Madrid,"Feb 26, 2013",FC Barcelona,1:3,Real Madrid,12',0:1,José Manuel Pinto,https://www.transfermarkt.us/jose-manuel-pinto/elfmeterstatistik/spieler/7537
1,12/13,LaLiga,Real Madrid,"Jan 27, 2013",Real Madrid,4:0,Getafe CF,72',4:0,Miguel Ángel Moyá,https://www.transfermarkt.us/miguel-angel-moya/elfmeterstatistik/spieler/26065
1,12/13,LaLiga,Real Madrid,"Oct 20, 2012",Real Madrid,2:0,Celta de Vigo,67',2:0,Sergio Álvarez,https://www.transfermarkt.us/sergio-alvarez/elfmeterstatistik/spieler/45912
